0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,cr
0.203,0.167,0.085,0.156,0.048,0.05,0.026,0.109,0.039,0.116,0.9,0.875,0.75,0.857,0.5,0.667,0.111,0.8,0.143,0.833,0.054
0.194,0.164,0.089,0.158,0.049,0.051,0.027,0.111,0.04,0.118,0.889,0.875,0.75,0.857,0.5,0.667,0.125,0.8,0.167,0.833,0.055
0.197,0.166,0.089,0.154,0.049,0.05,0.027,0.11,0.04,0.117,0.9,0.875,0.75,0.857,0.333,0.667,0.125,0.8,0.167,0.833,0.055
0.195,0.162,0.089,0.155,0.05,0.052,0.026,0.111,0.04,0.119,0.889,0.875,0.8,0.857,0.5,0.667,0.111,0.8,0.167,0.833,0.051
0.208,0.168,0.085,0.152,0.048,0.05,0.026,0.109,0.04,0.113,0.9,0.875,0.75,0.833,0.5,0.667,0.111,0.8,0.143,0.833,0.055
0.196,0.17,0.088,0.153,0.049,0.051,0.027,0.11,0.041,0.115,0.889,0.875,0.75,0.857,0.5,0.667,0.125,0.8,0.167,0.833,0.058
0.195,0.169,0.088,0.159,0.049,0.05,0.027,0.11,0.04,0.114,0.889,0.875,0.75,0.857,0.5,0.667,0.111,0.8,0.143,0.833,0.057
0.191,0.166,0.087,0.158,0.05,0.053,0.026,0.111,0.04,0.118,0.889,0.875,0.75,0.857,0.5,0.75,0.111,0.8,0.143,0.833,0.056
0.195,0.165,0.088,0.153,0.051,0.054,0.028,0.11,0.041,0.116,0.9,0.875,0.75,0.857,0.5,0.667,0.125,0.75,0.167,0.833,0.055
0.197,0.168,0.088,0.151,0.05,0.052,0.027,0.113,0.04,0.115,0.9,0.875,0.8,0.857,0.5,0.667,0.111,0.8,0.143,0.833,0.055
0.203,0.164,0.085,0.153,0.05,0.051,0.027,0.113,0.039,0.114,0.9,0.875,0.75,0.857,0.5,0.667,0.111,0.8,0.143,0.833,0.058
0.199,0.165,0.085,0.151,0.05,0.051,0.027,0.114,0.043,0.115,0.9,0.875,0.75,0.833,0.333,0.667,0.111,0.8,0.167,0.833,0.056
0.197,0.168,0.085,0.149,0.051,0.052,0.028,0.114,0.042,0.115,0.889,0.889,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.062
0.197,0.168,0.087,0.149,0.05,0.051,0.028,0.113,0.042,0.115,0.889,0.889,0.8,0.857,0.5,0.667,0.125,0.8,0.167,0.833,0.062
0.191,0.17,0.088,0.15,0.05,0.052,0.028,0.114,0.042,0.116,0.889,0.889,0.8,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.056
0.191,0.17,0.088,0.15,0.05,0.052,0.028,0.113,0.041,0.116,0.889,0.889,0.8,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.054
0.195,0.165,0.089,0.149,0.051,0.053,0.028,0.114,0.041,0.116,0.889,0.875,0.8,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.055
0.193,0.17,0.085,0.15,0.051,0.053,0.027,0.113,0.042,0.116,0.889,0.889,0.75,0.833,0.5,0.667,0.111,0.8,0.167,0.833,0.057
0.193,0.169,0.088,0.15,0.051,0.054,0.028,0.111,0.043,0.112,0.889,0.889,0.8,0.833,0.5,0.667,0.125,0.75,0.167,0.833,0.06
0.2,0.163,0.08,0.152,0.051,0.052,0.028,0.114,0.042,0.12,0.889,0.875,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.058
0.204,0.162,0.08,0.151,0.049,0.052,0.028,0.116,0.042,0.117,0.889,0.875,0.667,0.833,0.5,0.667,0.111,0.8,0.167,0.833,0.058
0.201,0.165,0.079,0.155,0.051,0.053,0.029,0.111,0.043,0.113,0.889,0.875,0.667,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.058
0.194,0.168,0.084,0.156,0.051,0.053,0.029,0.111,0.042,0.113,0.889,0.875,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.058
0.198,0.167,0.083,0.156,0.051,0.051,0.029,0.111,0.041,0.113,0.9,0.875,0.75,0.833,0.5,0.667,0.125,0.8,0.167,0.833,0.057
0.211,0.168,0.083,0.15,0.05,0.051,0.028,0.108,0.042,0.108,0.889,0.889,0.75,0.833,0.5,0.667,0.111,0.8,0.167,0.833,0.072
